,GENERATOR,AUROC,AUPRC,FPR95
0,adm,0.6964464464464465,0.6808119146082109,0.5822489155822489
1,bgan,0.8663663663663663,0.8461877973452048,0.2851184517851184
2,glide,0.812423534645757,0.7920687161427902,0.3311644978311645
3,midj,0.6278778778778779,0.6324732229824822,0.6016016016016016
4,sd_14,0.6374151929707486,0.6440725146743665,0.5457123790457123
5,sd_15,0.6350725725725725,0.6361482010787567,0.5664414414414415
6,vqdm,0.8837726615504393,0.8684007871507871,0.27627627627627627
7,wukong,0.7517239461683907,0.7455697400141844,0.4024024024024024
8,average,0.7388873248248248,0.7307166117495979,0.44887074574574576
