class,model,frechet_distance
571,bgan,405.60358
571,midj,372.4459
571,sd_15,281.12964
084,bgan,527.1754
084,midj,288.2547
084,sd_15,695.6808
661,bgan,276.35394
661,midj,191.42828
661,sd_15,153.11298
857,bgan,328.6018
857,midj,316.6599
857,sd_15,273.86996
489,bgan,673.4278
489,midj,404.3641
489,sd_15,422.79565
969,bgan,445.4256
969,midj,336.76453
969,sd_15,393.61554
177,bgan,254.88712
177,midj,315.46152
177,sd_15,277.32175
541,bgan,601.4129
541,midj,473.52545
541,sd_15,448.00537
000,bgan,363.1255
000,midj,456.94308
000,sd_15,489.74158
380,bgan,343.774
380,midj,263.07645
380,sd_15,295.3476
